Date,Parameter1,Parameter2,Parameter3,Parameter4
2000-01-01,261441,288343,498203,167021
2000-01-02,858213,588528,651362,409787
2000-01-03,337192,688484,677172,445845
2000-01-04,302065,55451,516514,38240
2000-01-05,84161,985780,821152,707545
2000-01-06,767437,894544,274732,276686
2000-01-07,729958,93703,563076,224115
2000-01-08,813775,866359,737840,32815
2000-01-09,994590,58060,671074,609077
2000-01-10,371928,954203,8976,833635
2000-01-11,783816,417249,495292,479049
2000-01-12,515011,627359,531247,670201
2000-01-13,558031,5259,518254,920542
2000-01-14,202980,217489,91979,789738
2000-01-15,815147,667878,733711,390877
2000-01-16,493749,978242,6648,422311
2000-01-17,68095,766019,877670,899999
2000-01-18,272846,750690,79032,968270
2000-01-19,616734,989298,385243,865233
2000-01-20,853289,424352,728976,39129
2000-01-21,845356,352152,837761,219310
2000-01-22,351269,38872,276121,420281
2000-01-23,124789,971789,671040,59498
2000-01-24,354041,515990,733788,468645
2000-01-25,522118,42643,709163,326043
2000-01-26,285779,423861,949006,335826
2000-01-27,247676,320935,750050,140701
2000-01-28,764837,39957,882936,950385
2000-01-29,975105,828912,574384,757906
2000-01-30,263385,4311,795716,379524
2000-01-31,313866,775312,208142,965716
2000-02-01,369390,231914,296656,904705
2000-02-02,769050,938887,200591,61421
2000-02-03,265467,74068,380642,339709
2000-02-04,371927,8304,161485,797208
2000-02-05,201361,95210,558737,280874
2000-02-06,186688,586110,475228,669884
2000-02-07,631518,947278,561076,469103
2000-02-08,711067,970394,333450,65048
2000-02-09,653771,331862,304623,753720
2000-02-10,720196,381289,453137,581
2000-02-11,876050,852452,583048,495066
2000-02-12,403795,209370,250370,864786
2000-02-13,476396,244812,876984,143076
2000-02-14,919918,680817,485114,78273
2000-02-15,932274,314399,893367,302474
2000-02-16,920410,564584,170615,534417
2000-02-17,666049,210244,660677,65020
2000-02-18,788987,999592,546147,548410
2000-02-19,564500,433435,826582,439459
2000-02-20,485438,121804,107627,329348
2000-02-21,724299,155485,56528,356268
2000-02-22,807099,920796,729717,467163
2000-02-23,693785,853704,936905,172924
2000-02-24,875388,209263,170916,987467
2000-02-25,34297,7281,920585,97564
2000-02-26,295763,75277,692366,431243
2000-02-27,326240,497614,907082,765443
2000-02-28,800065,750140,438032,956920
2000-02-29,439489,312143,298665,341348
2000-03-01,135747,961417,245443,220931
2000-03-02,430394,310197,314780,125209
2000-03-03,126504,787320,142430,557900
2000-03-04,740576,386941,490397,536588
2000-03-05,676271,153964,90817,681905
2000-03-06,697700,795936,435542,757176
2000-03-07,273835,937942,80160,891445
2000-03-08,984456,822327,564916,380670
2000-03-09,575710,11507,780555,722016
2000-03-10,7271,714905,800666,323816
2000-03-11,538942,921769,670623,648970
2000-03-12,150264,263962,525844,959600
2000-03-13,423586,101485,178004,235411
2000-03-14,255752,316317,981217,472111
2000-03-15,560665,969600,496581,429750
2000-03-16,712346,554322,190633,351979
2000-03-17,816347,825380,389443,334078
2000-03-18,105910,547540,347692,669191
2000-03-19,969470,921441,86002,141144
2000-03-20,141267,865620,595644,161191
2000-03-21,285399,539779,446559,88352
2000-03-22,89257,563259,122503,712471
2000-03-23,710224,120299,628318,636210
2000-03-24,51272,421538,251446,542611
2000-03-25,980543,159494,682943,145782
